1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0910,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,8,2,0,10,0,0,3,0,0,0,2,0,0,3,0,2,0,0,35
1717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1018,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5
0602,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,3,0,1,7,0,0,0,0,1,0,1,0,1,8,1,0,0,0,0,30
0822,1,0,0,1,1,7,1,2,0,0,0,0,0,0,2,0,21,0,2,0,44,1,2,4,1,2,0,2,0,0,6,0,4,1,1,106
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,7
0610,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,13
1440,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
0922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,12
0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,7
0601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,10
0621,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,7
1050,0,1,0,0,0,1,0,1,4,0,1,0,0,0,3,1,5,0,2,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,26
0575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,0,15
1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,5
1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
